price,brand,ram,ram_type,display_size,display_type,pixels,screen_rate,screen_panel,length,width,height,cpu_brand,gpu_brand,hdd,ssd,OS,weight,cpu_point,gpu_point,fingerprint_reader,web_camera
579.0,LENOVO,16.0,DDR4,17.3,FHD,2073600.0,60.0,IPS,399.0,274.0,19.9,AMD,AMD,0.0,512.0,WINDOWS,2.04,7983.0,914.0,1.0,0.0
849.0,LENOVO,32.0,DDR4,14.0,FHD,2073600.0,60.0,IPS,331.0,235.0,19.1,INTEL,INTEL,0.0,512.0,WINDOWS,1.6,5002.0,1097.0,1.0,0.0
3099.0,DELL,64.0,DDR5,15.6,FHD+,2304000.0,60.0,IPS,344.4,230.14,11.65,INTEL,NVIDIA,0.0,4000.0,WINDOWS,1.84,15486.0,4713.0,1.0,0.0
749.99,ACER,24.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,363.4,250.5,17.9,AMD,AMD,1000.0,256.0,WINDOWS,1.8,7135.0,914.0,1.0,0.0
1269.0,ACER,16.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,363.4,255.0,23.9,INTEL,NVIDIA,0.0,1000.0,WINDOWS,2.2,12390.0,5970.0,1.0,0.0
2119.99,MSI,64.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,358.0,267.0,23.4,INTEL,NVIDIA,0.0,2000.0,WINDOWS,2.38,12390.0,10741.0,1.0,0.0
3149.0,MSI,32.0,DDR4,17.3,FHD,2073600.0,360.0,IPS,398.0,284.0,25.9,INTEL,NVIDIA,0.0,4000.0,WINDOWS,3.47,15486.0,8864.0,1.0,0.0
1499.99,HP,64.0,DDR4,17.3,FHD,2073600.0,60.0,IPS,399.0,259.0,19.8,INTEL,INTEL,0.0,2000.0,WINDOWS,2.54,7885.0,1435.0,1.0,0.0
549.0,DELL,16.0,DDR4,15.6,HD,1049088.0,60.0,TN,358.5,235.56,17.5,INTEL,INTEL,1000.0,128.0,WINDOWS,1.65,1456.0,148.0,0.0,1.0
1349.0,ACER,32.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,363.4,255.0,23.9,AMD,NVIDIA,0.0,512.0,WINDOWS,2.3,12472.0,7722.0,1.0,0.0
900.99,HP,32.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,357.8,230.1,18.7,INTEL,INTEL,0.0,512.0,WINDOWS,1.8,5002.0,1097.0,0.0,1.0
629.0,HP,8.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.5,242.0,17.9,INTEL,INTEL,0.0,256.0,WINDOWS,1.74,5002.0,1097.0,1.0,0.0
649.99,HP,32.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,360.1,233.9,17.8,AMD,AMD,0.0,1000.0,WINDOWS,1.75,7983.0,914.0,1.0,0.0
3859.0,MSI,64.0,DDR4,17.3,FHD,2073600.0,360.0,IPS,398.0,284.0,25.9,INTEL,NVIDIA,0.0,4000.0,WINDOWS,3.47,15486.0,8864.0,1.0,0.0
