Product Name,Product Link,Processor,Internal memory,Video card,Display,Solid-state drive,Price,Hard drive
Lenovo IdeaPad 3 15,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-15-4309/,Intel Core i3-1215U,8GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, Full HD (1920 x 1080), TN",256GB SSD,$58824,
HP 14,https://laptopmedia.com/laptop-specs/hp-14-5157/,AMD Ryzen 3 5300U,16GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","14.0”, HD (1366 x 768), TN",1000GB SSD,$113900,
Lenovo Legion 5 17,https://laptopmedia.com/laptop-specs/lenovo-legion-5-17-465/,AMD Ryzen 5 5600H,64GB RAM,NVIDIA GeForce GTX 1650 (Laptop),"17.3”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$131199,
HP 17,https://laptopmedia.com/laptop-specs/hp-17-15150/,Intel Core i7-1255U,64GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, Full HD (1920 x 1080), IPS",2000GB SSD,$150999,
HP 17,https://laptopmedia.com/laptop-specs/hp-17-15143/,Intel Core i7-1255U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, Full HD (1920 x 1080), IPS",2000GB SSD,$129999,
Lenovo Legion 5i 17,https://laptopmedia.com/laptop-specs/lenovo-legion-5i-17-107/,Intel Core i7-11800H,32GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 95W)","17.3”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,$149900,
Lenovo Legion 5 Pro 16,https://laptopmedia.com/laptop-specs/lenovo-legion-5-pro-16-264/,AMD Ryzen 9 6900HX,16GB RAM,"NVIDIA GeForce RTX 3070 Ti (Laptop, 150W)","16.0"", WQXGA (2560 x 1600), 165 Hz, IPS",1000GB SSD,$194900,
ASUS ROG Zephyrus Duo 16,https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-duo-16-275/,AMD Ryzen 9 7945HX,64GB RAM,"NVIDIA GeForce RTX 4080 (Laptop, 165W)","16.0"", QHD (2560 x 1600), 240 Hz, IPS",1000GB SSD,$387900,
Lenovo Legion 5i 17,https://laptopmedia.com/laptop-specs/lenovo-legion-5i-17-114/,Intel Core i7-11800H,64GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 95W)","17.3”, Full HD (1920 x 1080), 144 Hz, IPS",4000GB SSD,$209900,
HP 17,https://laptopmedia.com/laptop-specs/hp-17-15121/,Intel Core i7-1255U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, Full HD (1920 x 1080), IPS",2000GB SSD,$138900,
Dell Inspiron 3515,https://laptopmedia.com/laptop-specs/dell-inspiron-3515-483/,AMD Ryzen 5 3450U,16GB RAM,"AMD Radeon RX Vega 8 (R2000/3000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$74900,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14185/,Intel Core i5-1155G7,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, HD (1366 x 768), TN",1000GB SSD,$105999,
Dell Inspiron 5425,https://laptopmedia.com/laptop-specs/dell-inspiron-5425-53/,AMD Ryzen 5 5625U,32GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","14.0"", FHD+ (1920 x 1200), IPS",2000GB SSD,$114999,
Acer Predator Triton 500 SE,https://laptopmedia.com/laptop-specs/acer-predator-triton-500-se-338/,Intel Core i7-11800H,64GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 105W)","16.0"", WQXGA (2560 x 1600), 165 Hz, IPS",4000GB SSD,$214900,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14313/,Intel Core i7-1260P,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",4000GB SSD,$109900,
Lenovo V15 Gen 2,https://laptopmedia.com/laptop-specs/lenovo-v15-gen-2-525/,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$77999,1000GB HDD
HP Pavilion 15,https://laptopmedia.com/laptop-specs/hp-pavilion-15-6383/,AMD Ryzen 7 5700U,64GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",8000GB SSD,$468900,
Dell Inspiron 3515,https://laptopmedia.com/laptop-specs/dell-inspiron-3515-482/,AMD Ryzen 5 3450U,24GB RAM,"AMD Radeon RX Vega 8 (R2000/3000, 15W)","15.6”, HD (1366 x 768), TN",512GB SSD,$77999,1000GB HDD
HP OMEN 16,https://laptopmedia.com/laptop-specs/hp-omen-16-881/,AMD Ryzen 7 5800H,32GB RAM,NVIDIA GeForce RTX 3050 Ti (Laptop),"16.1″, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD,$197900,
MSI Katana GF76,https://laptopmedia.com/laptop-specs/msi-katana-gf76-379/,Intel Core i7-12700H,32GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 105W)","17.3”, Full HD (1920 x 1080), 144 Hz, IPS",4000GB SSD,$291400,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14073/,Intel Core i5-1135G7,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$107900,
ASUS ROG Strix G17,https://laptopmedia.com/laptop-specs/asus-rog-strix-g17-167/,AMD Ryzen 9 7945HX,16GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 140W)","17.3"", QHD (2560 x 1440), 240 Hz, IPS",2000GB SSD,$219999,
ASUS Vivobook 17,https://laptopmedia.com/laptop-specs/asus-vivobook-17-2896/,Intel Core i5-1035G1,20GB RAM,Intel UHD Graphics G1,"17.3”, HD+ (1600 x 900), TN",256GB SSD,$103900,1000GB HDD
Apple MacBook Pro 16,https://laptopmedia.com/laptop-specs/apple-macbook-pro-16-109/,Apple M2 Max,64GB RAM,Apple M2 Max GPU,"16.2”, Liquid Retina (3456 x 2234), 120 Hz",2000GB SSD,$409900,
MSI GP66 Leopard,https://laptopmedia.com/laptop-specs/msi-gp66-leopard-712/,Intel Core i7-11800H,32GB RAM,"NVIDIA GeForce RTX 3070 (Laptop, 140W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,$155999,
ASUS TUF Dash F15,https://laptopmedia.com/laptop-specs/asus-tuf-dash-f15-989/,Intel Core i7-12650H,32GB RAM,NVIDIA GeForce RTX 3050 (Laptop),"15.6"", WQHD (2560 x 1440), 165 Hz, IPS",2000GB SSD,$163900,
