Product Name,Product Link,Processor,Internal memory,Video card,Display,Solid-state drive,Price,Hard drive
ASUS TUF Dash F15,https://laptopmedia.com/laptop-specs/asus-tuf-dash-f15-1023/,Intel Core i7-12650H,64GB RAM,"NVIDIA GeForce RTX 3070 (Laptop, 105W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$362900,
Lenovo Legion 5i 15,https://laptopmedia.com/laptop-specs/lenovo-legion-5i-15-1365/,Intel Core i7-12700H,64GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 130W)","15.6”, QHD (2560 x 1440), 165 Hz, IPS",2000GB SSD,$304999,
Acer Nitro 5,https://laptopmedia.com/laptop-specs/acer-nitro-5-2848/,Intel Core i7-12700H,32GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 140W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$181900,
Acer Predator Triton 500 SE,https://laptopmedia.com/laptop-specs/acer-predator-triton-500-se-342/,Intel Core i7-11800H,32GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 105W)","16.0"", WQXGA (2560 x 1600), 165 Hz, IPS",1000GB SSD,$235999,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14199/,Intel Core i5-1155G7,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, HD (1366 x 768), TN",2000GB SSD,$130999,
Dell Inspiron 5425,https://laptopmedia.com/laptop-specs/dell-inspiron-5425-66/,AMD Ryzen 7 5825U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","14.0"", FHD+ (1920 x 1200), IPS",1000GB SSD,$109999,
Lenovo V15 Gen 2,https://laptopmedia.com/laptop-specs/lenovo-v15-gen-2-526/,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$71999,
HP EliteBook 840 G8,https://laptopmedia.com/laptop-specs/hp-elitebook-840-g8-301/,Intel Core i5-1135G7,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,$178900,
HP ENVY x360 15,https://laptopmedia.com/laptop-specs/hp-envy-x360-15-4373/,Intel Core i5-1135G7,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",8000GB SSD,$464900,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14074/,Intel Core i7-1260P,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$98900,
ASUS ROG Strix G17,https://laptopmedia.com/laptop-specs/asus-rog-strix-g17-234/,AMD Ryzen 9 7945HX,64GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 140W)","17.3"", QHD (2560 x 1440), 240 Hz, IPS",8000GB SSD,$369999,
ASUS Vivobook 17,https://laptopmedia.com/laptop-specs/asus-vivobook-17-2887/,Intel Core i5-1035G1,12GB RAM,Intel UHD Graphics G1,"17.3”, HD+ (1600 x 900), TN",4000GB SSD,$142900,
Acer Nitro 5,https://laptopmedia.com/laptop-specs/acer-nitro-5-2779/,Intel Core i5-10300H,32GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 75W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,$164999,
Lenovo IdeaPad 3 17,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-17-1858/,AMD Ryzen 5 5625U,8GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, Full HD (1920 x 1080), IPS",512GB SSD,$57999,
HP Pavilion 14,https://laptopmedia.com/laptop-specs/hp-pavilion-14-197/,AMD Ryzen 7 5825U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,$94900,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-13974/,AMD Ryzen 5 5500U,32GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), TN",512GB SSD,$67999,
Dell Inspiron 3511,https://laptopmedia.com/laptop-specs/dell-inspiron-3511-1724/,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$102999,
Dell Inspiron 3525,https://laptopmedia.com/laptop-specs/dell-inspiron-3525-194/,AMD Ryzen 3 3250U,24GB RAM,AMD Radeon RX Vega 3,"15.6”, Full HD (1920 x 1080), 120 Hz, IPS",512GB SSD,$74999,1000GB HDD
ASUS ROG Zephyrus G14,https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g14-650/,AMD  Ryzen 9 6900HS,24GB RAM,AMD Radeon RX 6800S,"14.0”, WQXGA (2560 x 1600), 120 Hz, IPS",4000GB SSD,$213499,
Dell Inspiron 3505,https://laptopmedia.com/laptop-specs/dell-inspiron-3505-737/,AMD Ryzen 5 3450U,8GB RAM,"AMD Radeon RX Vega 8 (R2000/3000, 15W)","15.6”, Full HD (1920 x 1080), IPS",256GB SSD,$69999,1000GB HDD
Dell Inspiron 3505,https://laptopmedia.com/laptop-specs/dell-inspiron-3505-731/,AMD Ryzen 5 3450U,24GB RAM,"AMD Radeon RX Vega 8 (R2000/3000, 15W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$89999,1000GB HDD
HP 15,https://laptopmedia.com/laptop-specs/hp-15-13817/,Intel Core i5-1135G7,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$68900,
Dell Inspiron 3515,https://laptopmedia.com/laptop-specs/dell-inspiron-3515-415/,AMD Ryzen 5 3450U,8GB RAM,"AMD Radeon RX Vega 8 (R2000/3000, 15W)","15.6”, HD (1366 x 768), TN",1000GB SSD,$80000,
ASUS TUF Gaming A15,https://laptopmedia.com/laptop-specs/asus-tuf-gaming-a15-526/,AMD Ryzen 9 5900HX,32GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 95W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$149900,2000GB HDD
HP 17,https://laptopmedia.com/laptop-specs/hp-17-14853/,AMD Athlon Silver 3050U,12GB RAM,AMD Radeon RX Vega 3,"17.3”, HD+ (1600 x 900), TN",256GB SSD,$59900,
HP 17,https://laptopmedia.com/laptop-specs/hp-17-14820/,AMD Ryzen 7 5825U,64GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","17.3”, HD+ (1600 x 900), TN",2000GB SSD,$114900,
ASUS TUF Gaming A15,https://laptopmedia.com/laptop-specs/asus-tuf-gaming-a15-514/,AMD Ryzen 7 6800H,64GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 95W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",4000GB SSD,$134900,
Dell Inspiron 3525,https://laptopmedia.com/laptop-specs/dell-inspiron-3525-143/,AMD Ryzen 7 5825U,64GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), 120 Hz, IPS",2000GB SSD,$118900,
HP 17,https://laptopmedia.com/laptop-specs/hp-17-14753/,AMD Ryzen 5 5500U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,$87900,
HP ENVY x360 15,https://laptopmedia.com/laptop-specs/hp-envy-x360-15-4252/,Intel Core i7-1195G7,24GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$119900,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-13569/,Intel Core i5-1135G7,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, HD (1366 x 768), TN",2000GB SSD,$79900,
MSI Stealth GS66,https://laptopmedia.com/laptop-specs/msi-stealth-gs66-88/,Intel Core i9-12900H,64GB RAM,"NVIDIA GeForce RTX 3070 Ti (Laptop, 105W)","15.6”,  QHD (2560 x 1440), 240 Hz, IPS",4000GB SSD,$376900,
Lenovo IdeaPad 3 15,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-15-4120/,AMD Ryzen 7 5825U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$67900,
HP 17,https://laptopmedia.com/laptop-specs/hp-17-14689/,AMD Ryzen 5 5500U,32GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,$88900,
Acer Aspire 5,https://laptopmedia.com/laptop-specs/acer-aspire-5-2799/,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$74999,
MSI Cyborg 15,https://laptopmedia.com/laptop-specs/msi-cyborg-15-13/,Intel Core i7-12650H,64GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 45W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$179999,
Acer Aspire 5,https://laptopmedia.com/laptop-specs/acer-aspire-5-3308/,Intel Core i7-1255U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,$131999,
HP 17,https://laptopmedia.com/laptop-specs/hp-17-15050/,AMD Ryzen 5 5625U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, HD+ (1600 x 900), TN",2000GB SSD,$113499,
ASUS ROG Zephyrus G15,https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-g15-590/,AMD  Ryzen 9 6900HS,40GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 120W)","15.6"", WQHD (2560 x 1440), 165 Hz, IPS",1000GB SSD,$148999,
HP OMEN 17,https://laptopmedia.com/laptop-specs/hp-omen-17-1353/,Intel Core i7-12700H,16GB RAM,NVIDIA GeForce RTX 3060 (Laptop),"17.3”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,$167900,
Acer Swift Edge,https://laptopmedia.com/laptop-specs/acer-swift-edge-7/,AMD Ryzen 7 6800U,16GB RAM,AMD Radeon 680M,"16.0”, WQUXGA (3840 x 2400), OLED",2000GB SSD,$115499,
Lenovo ThinkPad E14 Gen 3,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e14-gen-3-594/,AMD Ryzen 7 5700U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","14.0”, Full HD (1920 x 1080), IPS",2000GB SSD,$94999,
MSI Raider GE78,https://laptopmedia.com/laptop-specs/msi-raider-ge78-9/,Intel Core i9-13980HX,64GB RAM,"NVIDIA GeForce RTX 4080 (Laptop, 175W)","17.0”, QHD+ (2560 x 1600), 240 Hz, IPS",4000GB SSD,$419900,
HP Pavilion 15,https://laptopmedia.com/laptop-specs/hp-pavilion-15-6167/,Intel Core i7-1165G7,24GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$113999,
Lenovo IdeaPad 1 14,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-14-268/,Intel Pentium Silver N5030,4GB RAM,Intel UHD Graphics 605,"14.0”, HD (1366 x 768), TN",256GB SSD,$20900,
Lenovo Yoga 6 13,https://laptopmedia.com/laptop-specs/lenovo-yoga-6-13-317/,AMD Ryzen 5 5500U,8GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","13.3”, WUXGA (1920 x 1200), IPS",256GB SSD,$59900,
ASUS ROG Strix G15,https://laptopmedia.com/laptop-specs/asus-rog-strix-g15-598/,AMD Ryzen 7 4800H,16GB RAM,"NVIDIA GeForce RTX 3060 (Laptop, 130W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD,$136894,
Lenovo Legion 5 15,https://laptopmedia.com/laptop-specs/lenovo-legion-5-15-855/,AMD Ryzen 5 4600H,8GB RAM,NVIDIA GeForce GTX 1650 Ti (Laptop),"15.6”, Full HD (1920 x 1080), 120 Hz, IPS",256GB SSD,$76900,1000GB HDD
ASUS ZenBook 14,https://laptopmedia.com/laptop-specs/asus-zenbook-14-111/,AMD Ryzen 5 5500U,8GB RAM,NVIDIA GeForce MX450,"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,$71900,
Alienware m15 R7,https://laptopmedia.com/laptop-specs/alienware-m15-r7-16/,Intel Core i7-12700H,64GB RAM,NVIDIA GeForce RTX 3080 Ti (Laptop),"15.6”,  QHD (2560 x 1440), 240 Hz, IPS",1000GB SSD,$259900,
ASUS ProArt StudioBook 16,https://laptopmedia.com/laptop-specs/asus-proart-studiobook-16-439/,Intel Core i7-12700H,32GB RAM,NVIDIA GeForce RTX 3070 Ti (Laptop),"16.0”, WQUXGA (3840 x 2400), OLED",1000GB SSD,$330900,
Dell Inspiron 3511,https://laptopmedia.com/laptop-specs/dell-inspiron-3511-1734/,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$90999,1000GB HDD
ASUS TUF Dash F15,https://laptopmedia.com/laptop-specs/asus-tuf-dash-f15-978/,Intel Core i7-12650H,16GB RAM,NVIDIA GeForce RTX 3050 (Laptop),"15.6"", WQHD (2560 x 1440), 165 Hz, IPS",512GB SSD,$124900,
Acer Aspire 5,https://laptopmedia.com/laptop-specs/acer-aspire-5-3164/,Intel Core i5-1135G7,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",128GB SSD,$69999,
HP ENVY x360 15,https://laptopmedia.com/laptop-specs/hp-envy-x360-15-4367/,Intel Core i7-1260P,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,$159900,
MSI Raider GE66,https://laptopmedia.com/laptop-specs/msi-raider-ge66-755/,Intel Core i7-12700H,32GB RAM,"NVIDIA GeForce RTX 3080 Ti (Laptop, 150W)","15.6”,  QHD (2560 x 1440), 240 Hz, IPS",2000GB SSD,$447900,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-13938/,Intel Core i5-1135G7,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, HD (1366 x 768), TN",2000GB SSD,$133999,
HP 14,https://laptopmedia.com/laptop-specs/hp-14-5136/,AMD Ryzen 3 3250U,16GB RAM,AMD Radeon RX Vega 3,"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,$55900,
Alienware x17 R2,https://laptopmedia.com/laptop-specs/alienware-x17-r2-76/,Intel Core i9-12900H,64GB RAM,NVIDIA GeForce RTX 3070 Ti (Laptop),"17.3”, Full HD (1920 x 1080), 360 Hz, IPS",1000GB SSD,$346900,
Acer Aspire 3,https://laptopmedia.com/laptop-specs/acer-aspire-3-1390/,Intel Core i5-1135G7,20GB RAM,Intel Iris Xe Graphics G7 (80EU),"17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,$89999,
Acer Swift 3,https://laptopmedia.com/laptop-specs/acer-swift-3-433/,Intel Core i7-1260P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0"", QHD+ (2560 x 1600), IPS",1000GB SSD,$123374,
Dell Latitude 3520,https://laptopmedia.com/laptop-specs/dell-latitude-3520-422/,Intel Core i5-1135G7,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,$108800,
Dell Inspiron 3511,https://laptopmedia.com/laptop-specs/dell-inspiron-3511-1645/,Intel Core i5-1135G7,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$84900,
Acer Aspire 5,https://laptopmedia.com/laptop-specs/acer-aspire-5-3103/,Intel Core i3-1115G4,8GB RAM,Intel UHD Graphics Xe G4 (48EU),"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,$50900,1000GB HDD
LG Gram 14,https://laptopmedia.com/laptop-specs/lg-gram-14-116/,Intel Core i7-1260P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0"", FHD+ (1920 x 1200), IPS",512GB SSD,$137900,
Alienware x17 R2,https://laptopmedia.com/laptop-specs/alienware-x17-r2-43/,Intel Core i9-12900H,32GB RAM,NVIDIA GeForce RTX 3070 Ti (Laptop),"17.3”, Full HD (1920 x 1080), 360 Hz, IPS",4000GB SSD,$856127,
Lenovo ThinkPad E15 Gen 4,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e15-gen-4-339/,Intel Core i5-1235U,24GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$104999,
MSI Stealth GS66,https://laptopmedia.com/laptop-specs/msi-stealth-gs66-91/,Intel Core i7-12700H,64GB RAM,"NVIDIA GeForce RTX 3070 Ti (Laptop, 105W)","15.6”,  QHD (2560 x 1440), 240 Hz, IPS",1000GB SSD,$319900,
Dell G15 5520,https://laptopmedia.com/laptop-specs/dell-g15-5520-141/,Intel Core i5-12500H,8GB RAM,"NVIDIA GeForce RTX 3050 (Laptop, 95W)","15.6”, Full HD (1920 x 1080), 120 Hz, IPS",256GB SSD,$76900,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-13599/,Intel Core i3-1115G4,8GB RAM,Intel UHD Graphics Xe G4 (48EU),"15.6”, Full HD (1920 x 1080), TN",512GB SSD,$56999,
HP Pavilion 15,https://laptopmedia.com/laptop-specs/hp-pavilion-15-6278/,Intel Core i7-1260P,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,$154900,
Lenovo IdeaPad 3 15,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-15-4183/,AMD Ryzen 7 5825U,20GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",256GB SSD,$85999,
Lenovo IdeaPad 3 15,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-15-4165/,AMD Ryzen 7 5825U,40GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$104900,
Lenovo V15 Gen 2,https://laptopmedia.com/laptop-specs/lenovo-v15-gen-2-456/,Intel Core i7-1165G7,40GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$95900,
HP OMEN 16,https://laptopmedia.com/laptop-specs/hp-omen-16-937/,AMD Ryzen 7 5800H,64GB RAM,NVIDIA GeForce RTX 3050 Ti (Laptop),"16.1″, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD,$269900,
MSI Pulse GL76,https://laptopmedia.com/laptop-specs/msi-pulse-gl76-545/,Intel Core i7-12700H,32GB RAM,"NVIDIA GeForce RTX 3070 (Laptop, 105W)","17.3”, Full HD (1920 x 1080), 360 Hz, IPS",8000GB SSD,$309900,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14486/,Intel Core i5-1135G7,24GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$95999,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14623/,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, HD (1366 x 768), TN",4000GB SSD,$161499,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14618/,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, HD (1366 x 768), TN",2000GB SSD,$126499,
MSI GP66 Leopard,https://laptopmedia.com/laptop-specs/msi-gp66-leopard-760/,Intel Core i7-11800H,32GB RAM,"NVIDIA GeForce RTX 3070 (Laptop, 140W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$205900,
Lenovo IdeaPad 3 17,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-17-1877/,AMD Ryzen 5 5625U,40GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,$73199,
HP Dragonfly Pro Chromebook,https://laptopmedia.com/laptop-specs/hp-dragonfly-pro-chromebook-2/,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, WQXGA (2560 x 1600), IPS",256GB SSD,$99999,
Dell Inspiron 5620,https://laptopmedia.com/laptop-specs/dell-inspiron-5620-141/,Intel Core i7-1260P,24GB RAM,NVIDIA GeForce MX570,"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,$142999,
ASUS ROG Zephyrus Duo 16,https://laptopmedia.com/laptop-specs/asus-rog-zephyrus-duo-16-242/,AMD Ryzen 9 7945HX,32GB RAM,"NVIDIA GeForce RTX 4080 (Laptop, 165W)","16.0"", QHD (2560 x 1600), 240 Hz, IPS",8000GB SSD,$535999,
Acer Predator Helios 300,https://laptopmedia.com/laptop-specs/acer-predator-helios-300-1444/,Intel Core i7-12700H,32GB RAM,"NVIDIA GeForce RTX 3070 Ti (Laptop, 150W)","15.6”,  QHD (2560 x 1440), 240 Hz, IPS",2000GB SSD,$345900,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14308/,Intel Core i7-1260P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,$109999,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14200/,Intel Core i5-1135G7,64GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",512GB SSD,$102900,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14179/,Intel Core i5-1155G7,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, HD (1366 x 768), TN",512GB SSD,$76999,
Dell Inspiron 3502,https://laptopmedia.com/laptop-specs/dell-inspiron-3502-406/,Intel Celeron N4020,8GB RAM,Intel UHD Graphics 600,"15.6”, HD (1366 x 768), TN",256GB SSD,$42900,1000GB HDD
MSI Delta 15,https://laptopmedia.com/laptop-specs/msi-delta-15-257/,AMD Ryzen 7 5800H,64GB RAM,AMD Radeon RX 6700M,"15.6”, Full HD (1920 x 1080), 240 Hz, IPS",1000GB SSD,$287400,
Dell Inspiron 7501,https://laptopmedia.com/laptop-specs/dell-inspiron-7501-365/,Intel Core i5-10300H,32GB RAM,Intel UHD Graphics,"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$114999,
HP Pavilion 15,https://laptopmedia.com/laptop-specs/hp-pavilion-15-6372/,Intel Core i7-1165G7,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",8000GB SSD,$429900,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14240/,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$79999,
HP 17,https://laptopmedia.com/laptop-specs/hp-17-15161/,Intel Core i5-1135G7,24GB RAM,Intel Iris Xe Graphics G7 (80EU),"17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,$99900,
Lenovo ThinkPad P14s Gen 3,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p14s-gen-3-91/,Intel Core i7-1270P,40GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0"", FHD+ (1920 x 1200), IPS",2000GB SSD,$195999,
ASUS TUF Gaming FX505,https://laptopmedia.com/laptop-specs/asus-tuf-gaming-fx505-1591/,AMD Ryzen 5 3550H,16GB RAM,"NVIDIA GeForce RTX 2060 (Laptop, 90W)","15.6”, Full HD (1920 x 1080), 120 Hz, IPS",512GB SSD,$162499,
ASUS ROG Flow X13,https://laptopmedia.com/laptop-specs/asus-rog-flow-x13-49/,AMD  Ryzen 9 6900HS,16GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 40W)","13.4"", FHD+ (1920 x 1200), 120 Hz, IPS",1000GB SSD,$131400,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-12984/,Intel Pentium Silver N5000,16GB RAM,Intel UHD Graphics 605,"15.6”, HD (1366 x 768), TN",512GB SSD,$49900,
HP ENVY x360 13,https://laptopmedia.com/laptop-specs/hp-envy-x360-13-421/,Intel Core i7-1250U,8GB RAM,Intel Iris Xe Graphics G7 (96EU),"13.3”, WUXGA (1920 x 1200), IPS",1000GB SSD,$94900,
Dell Latitude 7430,https://laptopmedia.com/laptop-specs/dell-latitude-7430-16/,Intel Core i7-1255U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,$200000,
Lenovo ThinkPad P16 Gen 1,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p16-gen-1-30/,Intel Core i9-12950HX,32GB RAM,NVIDIA RTX A2000 (Laptop),"16.0"", WQXGA (2560 x 1600), IPS",1000GB SSD,$304608,
HP ProBook 430 G8,https://laptopmedia.com/laptop-specs/hp-probook-430-g8-6/,Intel Core i3-1115G4,4GB RAM,Intel UHD Graphics,"13.3”, HD (1366 x 768), TN",256GB SSD,$111500,
Lenovo ThinkPad P52,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-p52-378/,Intel Core i7-8850H,64GB RAM,"NVIDIA Quadro P2000 (Laptop, 4GB GDDR5)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$179900,
HP Chromebook 11 G8 EE,https://laptopmedia.com/laptop-specs/hp-chromebook-11-g8-ee-10/,Intel Celeron N3350,4GB RAM,Intel HD Graphics 500 (Apollo Lake),"11.6”, HD (1366 x 768), TN",32GB SSD,$18900,
Apple MacBook Air 13,https://laptopmedia.com/laptop-specs/apple-macbook-air-13-late-2020/,Apple M1,8GB RAM,Apple M1 GPU (8-core),"13.3”, WQXGA (2560 x 1600), IPS",256GB SSD,$79999,
Microsoft Surface Pro 4,https://laptopmedia.com/laptop-specs/microsoft-surface-pro-4-17/,Intel Core i7-6650U,16GB RAM,Intel Iris Graphics 540,"12.3"", 3К (2736 x 1824), IPS",512GB SSD,$129900,
Dell Inspiron 5555,https://laptopmedia.com/laptop-specs/dell-inspiron-5555-8/,AMD A8-7410,6GB RAM,AMD Radeon R5 (Carrizo-L),"15.6”, HD (1366 x 768), TN",,$42051,500GB HDD
ASUS TUF Gaming A15,https://laptopmedia.com/laptop-specs/asus-tuf-gaming-a15-600/,AMD Ryzen 7 7735HS,16GB RAM,"NVIDIA GeForce RTX 4050 (Laptop, 140W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",2000GB SSD,$137400,
HP ProBook 450 G9,https://laptopmedia.com/laptop-specs/hp-probook-450-g9-197/,Intel Core i5-1235U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,$104999,
HP 15,https://laptopmedia.com/laptop-specs/hp-15-14246/,Intel Core i7-1165G7,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$84999,
HP 17,https://laptopmedia.com/laptop-specs/hp-17-15152/,Intel Core i7-1255U,64GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, Full HD (1920 x 1080), IPS",2000GB SSD,$150999,
Lenovo ThinkBook 15 Gen 3,https://laptopmedia.com/laptop-specs/lenovo-thinkbook-15-gen-3-354/,AMD Ryzen 5 5500U,8GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",256GB SSD,$110500,
