price,brand,ram,ram_type,display_size,display_type,resolution,screen_rate,screen_panel,length,width,height,cpu_brand,gpu_brand,ssd,os,weight,cpu_point,gpu_point,features
1559.0,ASUS,24.0,DDR4,14.0,WQHD,2560 x 1440,120.0,IPS,324.0,222.0,17.9,AMD,NVIDIA,1000.0,WINDOWS,1.6,13179.0,5970.0,FINGERPRINT READER
1169.95,LENOVO,16.0,DDR4,16.0,WUXGA,1920 x 1200,,IPS,361.9,255.5,20.5,INTEL,INTEL,512.0,WINDOWS,1.65,9933.0,1435.0,FINGERPRINT READER
1149.0,HP,32.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.0,242.0,17.9,INTEL,INTEL,1000.0,WINDOWS,1.7,5125.0,1435.0,FINGERPRINT READER
419.0,LENOVO,8.0,DDR4,13.3,FHD,1920 x 1080,,IPS,310.0,214.0,16.95,INTEL,INTEL,128.0,CHROME OS,1.35,3056.0,,WEB CAMERA
1979.99,MSI,16.0,DDR4,15.6,FHD,1920 x 1080,144.0,IPS,359.0,259.0,24.9,INTEL,NVIDIA,4000.0,WINDOWS,2.25,15486.0,8290.0,FINGERPRINT READER
1384.99,DELL,32.0,DDR4,15.6,FHD,1920 x 1080,120.0,IPS,358.5,235.56,16.96,INTEL,INTEL,2000.0,WINDOWS,1.73,7885.0,1435.0,FINGERPRINT READER
379.99,LENOVO,8.0,DDR4,14.0,FHD,1920 x 1080,,TN,327.1,241.0,19.9,INTEL,INTEL,512.0,WINDOWS,1.5,3056.0,,FINGERPRINT READER
389.99,HP,8.0,DDR4,14.0,HD,1366 x 768,,TN,324.0,225.0,17.9,INTEL,INTEL,64.0,WINDOWS,1.46,842.0,112.0,FINGERPRINT READER
1399.99,LENOVO,24.0,DDR4,15.6,FHD,1920 x 1080,,IPS,365.8,248.0,19.1,INTEL,INTEL,512.0,WINDOWS,1.75,5125.0,1435.0,FINGERPRINT READER
2399.99,LENOVO,64.0,DDR5,16.0,WQXGA,2560 x 1600,165.0,IPS,359.9,264.4,19.9,INTEL,NVIDIA,2000.0,WINDOWS,2.49,15486.0,8864.0,FINGERPRINT READER
699.0,HP,32.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.5,242.0,17.9,AMD,AMD,2000.0,WINDOWS,1.74,7135.0,914.0,FINGERPRINT READER
2419.0,LENOVO,8.0,LPDDR4X,14.0,FHD,1920 x 1080,,IPS,319.4,216.4,14.6,INTEL,INTEL,2000.0,WINDOWS,1.37,5524.0,1435.0,FINGERPRINT READER
1959.0,HP,16.0,DDR4,16.1,FHD,1920 x 1080,144.0,IPS,369.06,245.11,22.6,AMD,NVIDIA,1000.0,WINDOWS,2.3,12472.0,4713.0,FINGERPRINT READER
1849.0,MSI,32.0,DDR4,15.6,WQHD,2560 x 1440,165.0,IPS,358.0,267.0,23.4,INTEL,NVIDIA,1000.0,WINDOWS,2.38,15486.0,11652.0,FINGERPRINT READER
