price,brand,ram,ram_type,display_size,display_type,resolution,screen_rate,screen_panel,length,width,height,cpu_brand,gpu_brand,ssd,os,weight,cpu_point,gpu_point,features
659.0,LENOVO,36.0,DDR4,14.0,FHD,1920 x 1080,,TN,324.2,215.7,19.9,INTEL,INTEL,1000.0,WINDOWS,1.41,5002.0,1097.0,FINGERPRINT READER
1049.99,HP,16.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.9,228.0,18.4,AMD,AMD,512.0,WINDOWS,1.86,10523.0,1129.0,FINGERPRINT READER
3879.99,MSI,64.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.1,259.08,24.89,INTEL,NVIDIA,1000.0,WINDOWS,2.1,12390.0,5294.0,FINGERPRINT READER
1064.99,LENOVO,8.0,DDR4,15.6,FHD,1920 x 1080,,IPS,365.0,240.0,18.9,AMD,AMD,2000.0,WINDOWS,1.78,7983.0,914.0,WEB CAMERA
499.0,LENOVO,4.0,DDR4,14.0,HD,1366 x 768,,TN,325.3,216.5,17.9,INTEL,INTEL,128.0,WINDOWS,1.32,1456.0,148.0,WEB CAMERA
1299.0,ACER,16.0,DDR4,16.0,WQXGA,2560 x 1600,165.0,IPS,358.14,261.62,19.81,INTEL,NVIDIA,512.0,WINDOWS,2.44,12390.0,8290.0,FINGERPRINT READER
529.99,ASUS,16.0,DDR4,17.3,FHD,1920 x 1080,,IPS,399.3,254.3,19.8,INTEL,INTEL,512.0,WINDOWS,2.1,,1191.0,FINGERPRINT READER
2399.99,MSI,64.0,DDR4,15.6,FHD,1920 x 1080,144.0,IPS,359.0,249.0,24.9,INTEL,NVIDIA,2000.0,WINDOWS,2.25,13001.0,9638.0,FINGERPRINT READER
789.99,HP,16.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.5,242.0,19.9,INTEL,INTEL,1000.0,WINDOWS,1.75,7916.0,1097.0,WEB CAMERA
1199.99,HP,8.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.9,229.1,18.54,INTEL,INTEL,512.0,WINDOWS,1.7,,1435.0,WEB CAMERA
2569.0,HP,32.0,DDR4,14.0,FHD,1920 x 1080,,IPS,326.3,214.7,17.9,INTEL,INTEL,1000.0,WINDOWS,1.33,2204.0,378.0,FINGERPRINT READER
1304.99,HP,32.0,DDR4,14.0,FHD,1920 x 1080,,IPS,321.81,213.86,19.9,INTEL,INTEL,2000.0,WINDOWS,1.37,7916.0,1097.0,FINGERPRINT READER
2049.0,HP,64.0,DDR4,14.0,FHD,1920 x 1080,,IPS,323.3,214.6,17.9,INTEL,INTEL,2000.0,WINDOWS,1.32,5125.0,1435.0,FINGERPRINT READER
2315.0,ASUS,32.0,DDR4,17.3,FHD,1920 x 1080,144.0,IPS,399.0,268.0,22.1,AMD,NVIDIA,4000.0,WINDOWS,2.6,,4970.0,FINGERPRINT READER
2399.0,HP,64.0,DDR4,16.1,FHD,1920 x 1080,144.0,IPS,369.06,245.11,22.6,AMD,NVIDIA,512.0,WINDOWS,2.3,12472.0,4713.0,FINGERPRINT READER
1099.0,ACER,40.0,DDR4,15.6,FHD,1920 x 1080,,IPS,363.22,251.46,18.03,AMD,AMD,1000.0,WINDOWS,1.8,,787.0,FINGERPRINT READER
1444.0,MSI,16.0,DDR4,15.6,FHD,1920 x 1080,144.0,IPS,359.0,254.0,21.7,INTEL,INTEL,256.0,WINDOWS,1.86,9525.0,3881.0,FINGERPRINT READER
889.99,HP,8.0,DDR4,14.0,2.2K,2240 x 1400,,IPS,313.5,224.2,18.4,INTEL,INTEL,512.0,WINDOWS,1.4,,1097.0,WEB CAMERA
979.0,HP,16.0,DDR4,17.3,FHD,1920 x 1080,,IPS,400.0,257.8,20.6,INTEL,INTEL,2000.0,WINDOWS,2.05,,1435.0,FINGERPRINT READER
1224.99,HP,64.0,DDR4,15.6,HD,1366 x 768,,TN,358.5,242.0,19.9,INTEL,INTEL,1000.0,WINDOWS,1.75,7916.0,1097.0,WEB CAMERA
749.0,HP,16.0,DDR4,15.6,HD,1366 x 768,,TN,358.0,242.0,17.9,AMD,AMD,256.0,WINDOWS,1.7,8919.0,1129.0,WEB CAMERA
2239.0,MSI,64.0,DDR4,17.3,FHD,1920 x 1080,360.0,IPS,398.0,273.0,24.2,INTEL,NVIDIA,2000.0,WINDOWS,2.66,15486.0,,FINGERPRINT READER
999.0,HP,64.0,DDR4,15.6,HD,1366 x 768,,TN,359.91,253.96,18.54,INTEL,INTEL,1000.0,WINDOWS,1.59,,1435.0,WEB CAMERA
729.99,HP,32.0,DDR4,15.6,HD,1366 x 768,,TN,358.0,242.0,17.9,INTEL,INTEL,1000.0,WINDOWS,1.7,5002.0,1097.0,WEB CAMERA
779.99,HP,16.0,DDR4,15.6,FHD,1920 x 1080,144.0,IPS,357.88,255.01,23.5,INTEL,NVIDIA,1000.0,WINDOWS,2.29,13001.0,,FINGERPRINT READER
799.0,HP,16.0,DDR4,15.6,HD,1366 x 768,,TN,358.0,242.0,19.0,INTEL,INTEL,512.0,WINDOWS,1.7,7885.0,1435.0,FINGERPRINT READER
3009.0,AORUS,32.0,DDR4,17.3,FHD,1920 x 1080,360.0,IPS,398.0,254.0,24.0,INTEL,NVIDIA,1000.0,WINDOWS,2.7,15486.0,,FINGERPRINT READER
907.99,HP,12.0,DDR4,15.6,HD,1366 x 768,,TN,358.5,242.0,17.9,AMD,AMD,1000.0,WINDOWS,1.74,8919.0,1129.0,WEB CAMERA
1049.99,LENOVO,16.0,DDR4,15.6,FHD,1920 x 1080,,IPS,365.0,240.0,18.9,AMD,AMD,2000.0,WINDOWS,1.78,7983.0,914.0,FINGERPRINT READER
1399.0,HP,32.0,DDR4,15.6,FHD,1920 x 1080,,IPS,360.1,233.9,17.8,INTEL,INTEL,1000.0,WINDOWS,1.75,9933.0,1435.0,FINGERPRINT READER
2529.0,HP,64.0,DDR4,15.6,FHD,1920 x 1080,,IPS,360.1,233.9,17.8,INTEL,INTEL,1000.0,WINDOWS,1.75,5125.0,1435.0,FINGERPRINT READER
1269.0,HP,16.0,DDR4,15.6,FHD,1920 x 1080,,IPS,360.1,233.9,17.8,INTEL,INTEL,1000.0,WINDOWS,1.75,5125.0,1435.0,FINGERPRINT READER
1099.95,LENOVO,16.0,DDR4,15.6,FHD,1920 x 1080,120.0,IPS,359.6,251.9,24.2,INTEL,NVIDIA,512.0,WINDOWS,2.25,6055.0,,FINGERPRINT READER
2149.99,LENOVO,16.0,DDR4,15.6,FHD,1920 x 1080,,IPS,375.4,252.3,32.2,INTEL,NVIDIA,512.0,WINDOWS,2.74,7213.0,,FINGERPRINT READER
949.0,LENOVO,16.0,DDR4,15.6,FHD,1920 x 1080,120.0,IPS,362.56,260.61,22.5,AMD,NVIDIA,512.0,WINDOWS,2.4,9513.0,5936.0,FINGERPRINT READER
1458.99,DELL,16.0,DDR5,15.6,FHD+,1920 x 1200,,IPS,344.4,230.14,11.65,INTEL,NVIDIA,512.0,WINDOWS,1.84,12159.0,,FINGERPRINT READER
1399.0,ASUS,32.0,DDR5,15.6,FHD,1920 x 1080,144.0,IPS,354.0,251.0,19.9,INTEL,NVIDIA,2000.0,WINDOWS,2.0,13001.0,,FINGERPRINT READER
1854.0,HP,16.0,DDR4,16.1,FHD,1920 x 1080,,IPS,370.0,260.0,23.6,AMD,NVIDIA,2000.0,WINDOWS,2.46,9513.0,4713.0,FINGERPRINT READER
2479.0,HP,16.0,DDR4,15.6,FHD,1920 x 1080,,IPS,360.1,233.9,17.8,AMD,AMD,4000.0,WINDOWS,1.75,8919.0,1129.0,WEB CAMERA
1959.0,HP,16.0,DDR4,16.0,WQUXGA,3840 x 2400,,OLED,357.86,245.36,19.81,INTEL,INTEL,2000.0,WINDOWS,2.01,9933.0,3881.0,FINGERPRINT READER
2209.0,HP,32.0,DDR4,16.1,FHD,1920 x 1080,144.0,IPS,369.06,245.11,22.6,AMD,NVIDIA,512.0,WINDOWS,2.3,12472.0,4713.0,FINGERPRINT READER
789.99,ASUS,8.0,LPDDR5,14.0,2.8K,2880 x 1800,90.0,OLED,313.6,220.6,16.9,INTEL,INTEL,1000.0,WINDOWS,1.39,9469.0,1097.0,FINGERPRINT READER
899.0,LENOVO,8.0,DDR4,14.0,FHD,1920 x 1080,,IPS,329.0,227.0,17.9,AMD,AMD,256.0,WINDOWS,1.46,,914.0,FINGERPRINT READER
499.0,HP,8.0,DDR4,15.6,FHD,1920 x 1080,,TN,358.5,242.0,17.9,AMD,AMD,512.0,WINDOWS,1.74,7135.0,914.0,FINGERPRINT READER
1334.0,ASUS,20.0,DDR4,17.3,HD+,1600 x 900,,TN,406.9,256.0,19.9,INTEL,INTEL,1000.0,WINDOWS,2.3,3240.0,425.0,FINGERPRINT READER
1384.99,HP,64.0,DDR4,14.0,FHD,1920 x 1080,,IPS,,,,INTEL,INTEL,1000.0,WINDOWS,1.37,5524.0,1435.0,FINGERPRINT READER
1779.0,HP,32.0,DDR5,14.0,WUXGA,1920 x 1200,,IPS,316.0,224.0,19.2,INTEL,INTEL,1000.0,WINDOWS,1.36,7885.0,1435.0,FINGERPRINT READER
