Rank,GPU,3DMark Time Spy (G)
98.,NVIDIA T600,2763
99.,NVIDIA GeForce MX550 (35W),2572
100.,NVIDIA GeForce MX550,2373
101.,"NVIDIA GeForce MX450 (GDDR6, 25W / 28.5W)",2289
102.,AMD Radeon 680M,2282
103.,NVIDIA Quadro T550,2211
104.,NVIDIA GeForce MX450,2140
105.,NVIDIA Quadro T500,1994
106.,Intel Iris Xe Max,1891
107.,AMD Radeon 660M,1571
108.,Intel Iris Xe Graphics G7 (96EU),1437
109.,NVIDIA Quadro P620 (4GB GDDR5),1384
110.,NVIDIA GeForce MX350,1351
111.,NVIDIA GeForce MX350 (25W),1342
112.,"AMD Radeon RX Vega 8 (R4000/5000, 35/45W)",1204
113.,"Intel UHD Graphics (Alder Lake, 64EU)",1191
114.,NVIDIA GeForce MX250 (25W),1134
115.,"AMD Radeon RX Vega 8 (R4000/5000, 15W)",1129
116.,Intel Iris Xe Graphics G7 (80EU),1097
117.,"AMD Radeon RX Vega 7 (R4000/5000, 35/45W)",1076
118.,"NVIDIA GeForce MX330 (4GB GDDR5, 25W)",1073
119.,NVIDIA GeForce MX350 (10W),1064
120.,"NVIDIA GeForce MX330 (2GB GDDR5, 25W)",1046
121.,NVIDIA Quadro P520 (4GB GDDR5),1007
122.,"AMD Radeon RX Vega 7 (R4000/5000, 15W)",914
123.,AMD Radeon RX 640,848
124.,NVIDIA GeForce MX250 (10W),834
125.,Qualcomm Adreno 690,812
126.,AMD Radeon RX Vega 10,787
127.,"AMD Radeon RX Vega 6 (R4000/5000, 15W)",746
128.,"AMD Radeon RX Vega 8 (R2000/3000, 15W)",691
129.,Intel Iris Xe Graphics G4,685
130.,NVIDIA GeForce MX130 (2GB GDDR5),662
131.,Intel Iris Plus Graphics G7,631
132.,AMD Radeon 610M,526
133.,Intel UHD Graphics (Jasper Lake 16 EU),470
134.,AMD Radeon RX Vega 3,451
135.,Intel UHD Graphics G1,425
136.,Intel UHD Graphics 630,384
137.,Intel UHD Graphics,378
138.,Intel UHD Graphics (Jasper Lake 32 EU),313
139.,Intel UHD Graphics 605,148
140.,Intel UHD Graphics 600,112
141.,AMD Radeon R3 (Beema),105
